Owner,Location,PILOT Parcel No,Underlying Parcel Number,Begin Date,End Date,Assmt Taxes,PILOT Contract Amt,PILOT Debt Service Amt,Difference
"THOMPSON COURT, LLC",1875 KELTNER,IHE0004R000000,"06010400000260, 06010500000050, 06010600000010, 06010700000010",01/01/2017,12/31/2026,"$30,720","$7,234",$0,"-$23,487"
THREE SISTERS LTD,61 MAIN,ICC00290000000,"00203900000140, 00203900000150, 00203900000160",12/23/1983,12/30/2025,"$62,878","$15,029",$0,"-$47,849"
"THRIVE LANDLORD, LLC",2344 AUTUMN AVENUE & 2345 PARKW,IYD BP1L8A4C4E0000000,"0330050000042Z, 0330020000036Z",06/30/2022,06/30/2037,"$8,897","$8,897",$0,$0
TRANE US INC,5200 TRADEOIRT,IDB0882A000000,0008820000000D,12/31/2012,12/31/2020,$943,$100,$236,-$607
TRIPLE BELL,0 E. HOLMES; 0 AIRWAYS BLVD; 5568,IRDWB1A8Y4S60 B0L0V00D00,"0440000000100C,09440000001010,09440000 001110,09440000001120,09440000001130,09 440000001370,09440000001530",12/01/2020,11/30/2026,"$436,235","$33,455","$105,644","-$297,135"
TWIN OAKS 4819 WINCHESTER SQUARE LLC,3647 OUTLAND,IHE0005S000000,0740320000010C,10/31/2019,10/31/2039,"$105,561","$23,099",$0,"-$82,461"
UBIQUITI INC,6200 GLOBAL DRIVE,IDB1832A000000,D0018320000000,12/31/2021,12/31/2031,"$17,906",$0,"$3,357","-$14,549"
"UNITED PARCEL SERVICE, INC",0 WINCHESTER,IDB09500000000,"06017400001400, 0601760000383L, 0601860000008L",07/01/2014,07/01/2025,"$407,577","$203,788",$0,"-$203,788"
"UNIVERSITY GARDENS MANOR, LLC",2059 VOLLINTINE,IHE0004P000000,4103400001270,12/29/2014,12/29/2024,"$143,922","$13,560",$0,"-$130,362"
UNIVERSITY PLACE II LP,1045 E H CRUMP,IHE0002Q000000,"03202000000050, 03202000000070, 03202000000080, 03202000000090, 03202000000100, 03202000000110, 03202000000120,",05/31/2007,05/31/2027,"$264,869","$1,172",$0,"-$263,696"
UNIVERSITY PLACE SOUTHEAST LP,0 LAMAR,IHE06850000000,"03202000000030, 03202000000040",05/11/2006,05/10/2026,"$87,915","$2,034",$0,"-$85,881"
UPTOWN MANOR SENIOR DEVELOPMENT LLC,0 SEVENTH,IHE0004K000000,2203400000580,12/19/2014,12/18/2024,"$51,060",$273,$0,"-$50,787"
"UPTOWN SENIOR HOUSING DEVELOPMENT, LP",669 THIRD,IHE0001R000000,"0010560000002C, 00105600000070",04/19/2006,04/18/2026,"$41,349","$2,175",$0,"-$39,174"
"UPTOWN SQUARE APARTMENTS, LP",188 EXCHANGE,ICC05570000000,"00104200000040, 00112000000010",02/20/2003,02/20/2023,"$175,918","$3,755","$43,041","-$129,122"
"UPTOWN VILLAGE APARTMENTS, LP",0 THOMAS,IHE0001L000000,"0010960A000960, 0010960A000970",03/05/2004,03/04/2024,"$48,181","$1,984",$0,"-$46,197"
"US FOODS, INC F/K/A US FOODSERVICE INC",5900 HOLMES,IDB0893A000000,0008930000000D,12/31/2012,12/31/2022,"$3,206",$100,$801,"-$2,304"
US INDUSTRIAL REIT II,5215 LAMAR,IDB16800000000,9420000005460,04/30/2018,04/30/2033,"$485,543","$18,261","$116,820","-$350,461"
VALERO REFINING COMPANY-TENNESSEE LLC,543 MALLORY,IDB0885A000000,0008850000000D,12/31/2012,12/31/2027,"$95,565",$100,"$23,891","-$71,574"
VALERO REFINING COMPANY-TENNESSEE LLC,543 MALLORY,IDB0901A000000,0009010000000D,12/31/2011,12/31/2026,"$204,937",$100,"$51,234","-$153,603"
VALERO REFINING COMPANY-TENNESSEE LLC,543 MALLORY,IDB0921A000000,0009210000000D,12/31/2013,12/31/2028,"$100,949",$100,"$25,237","-$75,612"
VALERO REFINING COMPANY-TENNESSEE LLC,543 MALLORY,IDB0970A000000,0009700000000D,12/31/2014,12/31/2029,"$137,470",$100,"$34,367","-$103,002"
VALERO REFINING COMPANY-TENNESSEE LLC,543 MALLORY,IDB1070A000000,0010700000000D,12/31/2015,12/31/2030,"$87,965",$100,"$21,991","-$65,874"
VALERO REFINING COMPANY-TENNESSEE LLC,543 WEST MALLORY,IDB1772A000000,0017720000000D,12/31/2016,12/31/2031,"$231,196",$100,"$57,799","-$173,297"
WALGREEN CO,3299 TCHULATECH,IDB18470000000,9410000003180,02/01/2022,02/01/2032,"$168,737","$3,599","$13,665","-$151,473"
"WALK-OFF PROPERTIES, LLC",240 MADISON,ICC07580000000,202600000110,05/31/2017,05/31/2032,"$80,900","$13,652","$16,812","-$50,436"
WASHBURN PARTNERS - DOWNTOWN DEVELOPERS LLC,56 MAIN,ICC07300000000,"00205600000060, 00205600000070, 00205600000080",10/14/2008,10/14/2023,"$61,897","$8,285","$13,403","-$40,209"
WATER TO WINE,3637 PARK,IDB18480000000,5804800000050,07/01/2022,07/01/2033,"$5,150","$1,244",$845,"-$3,061"
WESLEY AT MILLINGTON INC,7917 COLE,IPH01160000000,M0115000008180,08/01/1994,End of Loan,"$43,555",$162,$0,"-$43,393"
"WESLEY GRACELAND GARDENS, L.P.",1445 RAINES,IPH0001U000000,"07900400000060, 07900400000090, 07900400000100",08/01/2016,08/23/2033,"$127,867","$4,230",$0,"-$123,637"
WESTERN B SOUTH TN LLC,5625 CHALLENGE,IDB17670000000,9340000005650,05/18/2019,05/18/2029,"$334,772","$145,965","$47,202","-$141,606"
WF 40 HULING LLC,40 HULING,ICC07810000000,"00207600000010, 0020760000001Z",09/22/2021,09/22/2032,"$44,667","$28,621","$4,011","-$12,034"
WH BAKERY LLC,0 MONROE AVE,ICC07820000000,700100000080,09/13/2018,09/13/2038,"$299,709","$2,307","$74,350","-$223,051"
WILLOW CREEK HOUSING INC,3840 COVINGTON PIKE,IMC00000000070,0870780000009C,09/06/2011,End of Loan,"$99,252","$13,920",$0,"-$85,332"
"WINBRANCH REALTY PARTNERS, LLC",3595 MILLBRANCH,IHE0003A000000,0780330000009C,05/04/2011,05/03/2031,"$37,262","$17,526",$0,"-$19,735"
WINCHESTER GROVE FOREST CREEK TOWNHOMES LLC,1340 WINCHESTER,IHE0003L000000,7800100000140,10/30/2012,10/30/2028,"$27,120","$13,560",$0,"-$13,560"
WINDSOR POINTE 2011 LP,0 WESLEY FOREST,IHE0003R000000,"0760340H000030, 0760340H000040, 0760340H000050, 0760340H000060, 0760340H000070, 0760340H000080, 0760340H000090, 0760340H000100, 0760340H000110, 0760340H000120, 0760340H000130, 0760340H000140, 0760340H000150, 0760340H000160, 0760340H000170, 0760340H000180, 0760340H000190, 0760340H000200, 0760340H000210, 0760340H000220, 0760340H000230, 0760340H000240, 0760340H000250, 0760340H000260, 0760340H000270, 0760340H000280, 0760340H000290, 0760340H000300, 0760340H000310, 0760340H000320, 0760340H000330, 0760340H000340, 0760340H000350, 0760340H000360, 0760340H000370, 0760340H000380, 0760340H000390, 0760340H000400, 0760340H000410, 0760340H000420, 0760340H000430, 0760340H000440, 0760340H000450, 0760340H000460, 0760340H000470, 0760340H000480, 0760340H000490, 0760340H000500, 0760340H000510, 0760340H000520, 0760340H000530, 0760340H000540, 0760340H000550, 0760340H000560, 0760340H000570, 0760340H000580, 0760340H000590, 0760340H000600,",04/04/2012,04/03/2032,"$82,243","$3,369",$0,"-$78,874"
"WISEACRE, LLC",394 S 3RD ST,ICC07970000000,"00501800000150, 00501800000090, 0050180000016C, 00501800000080, 00501800000070, 0050180000010C",05/21/2019,05/21/2034,"$81,212","$5,965","$18,812","-$56,435"
"WM BARR & COMPANY, INC",2210 BUOY,IDB17090000000,"05010200000440, 0501130000002c, 0501130000006C, 0501130000015C",08/31/2018,08/31/2027,"$114,380","$11,908","$25,618","-$76,854"
"WM BARR COMPANY, INC",6750 LENOX CENTER,IDB1748A000000,0017600000000D,12/31/2018,12/31/2027,"$90,950",$0,"$22,738","-$68,213"
"Wolf River Harbor Holdings, LLC",46 KEEL AVE,ICC08010000000,104600000010,01/14/2021,01/14/2041,"$161,592","$15,758","$1,604","-$144,230"
"WPT EASTPARK, II, LP",5405 HICKORY HILL,IDB09380000000,9420000004870,01/01/2014,01/01/2025,"$185,807","$11,932","$46,452","-$127,423"
"WRIGHT MEDICAL TECHNOLOGY, INC",1023 CHERRY,IDB0935A000000,0009350000000D,12/31/2013,12/31/2028,"$5,028",$100,"$1,257","-$3,671"
"WRIGHT MEDICAL TECHNOLOGY, INC",1023 CHERRY,IDB0975A000000,0009750000000D,12/31/2014,12/31/2029,"$2,430",$100,$607,"-$1,722"
"WRIGHT MEDICAL TECHNOLOGY, INC",1023 CHERRY,IDB1240A000000,0012400000000D,12/31/2015,12/31/2030,"$9,149",$100,"$2,287","-$6,762"
"WRIGHT MEDICAL TECHNOLOGY, INC",1023 CHERRY,IDB1590A000000,0015900000000D,12/31/2016,12/31/2031,"$5,522",$100,"$1,381","-$4,042"
"WRIGHT MEDICAL TECHNOLOGY, INC",0 MEMPHIS-ARLINGTON,IDB0000A000140,A0141L0A000040,12/31/2014,12/31/2024,"$62,901","$62,901",$0,$0
"WRIGHT MEDICAL TECHNOLOGY, INC",11576 MEMPHIS-ARLINGTON,IDB0000A00015A,3000150000000D,12/31/2014,12/31/2024,"$12,884","$12,884",$0,$0
"WRIGHT MEDICAL TECHNOLOGY, INC",11576 MEMPHIS ARLINGTON,IDB0000A00020A,3000160000000D,12/31/2015,12/31/2025,"$1,240",$100,$310,-$830
"WS HCHEM, LLC",0 WINCHESTER,IDB0000C000160,C024400A006820,06/01/2016,06/01/2023,"$129,117","$129,117",$0,$0
